,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,age,tenure
673,2,1,77353.0,0,1,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,3,11,41,8
216,1,0,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,3,11,43,7
2204,2,1,18929.0,0,0,15,32,0,8,23,4,18,1,1,0,4,6,0,0,0,0,0,0,3,11,31,8
1267,2,1,19656.0,1,0,94,25,4,9,6,8,32,3,2,1,3,7,0,0,0,0,0,0,3,11,51,8
639,2,1,73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,3,11,50,8
17,2,1,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,75,9
1401,2,1,65685.0,0,1,54,642,14,49,0,7,57,1,9,2,9,5,0,0,0,0,0,0,3,11,49,7
1584,2,0,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,34,7
1848,4,1,57705.0,0,1,14,383,0,53,6,4,40,3,8,1,6,6,0,0,0,0,0,0,3,11,55,7
263,4,1,37717.0,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,3,11,43,9
1223,2,1,40211.0,1,1,30,51,1,7,2,1,25,2,2,1,2,8,1,0,0,0,0,0,3,11,40,8
1888,2,1,76532.0,1,1,38,355,30,177,90,138,30,4,9,5,7,5,0,0,0,0,0,0,3,11,46,8
470,2,1,61456.0,0,1,47,563,76,384,84,192,89,4,6,10,13,4,0,0,0,0,0,0,3,11,46,8
402,2,0,42373.0,1,1,83,67,5,61,3,8,19,5,2,1,5,5,0,0,0,0,0,0,3,11,47,8
540,1,1,25315.0,1,0,46,1,9,8,11,3,22,3,3,0,3,8,0,0,0,0,0,0,3,11,44,8
1527,2,1,28087.0,1,1,77,53,8,17,13,0,21,3,2,2,2,7,0,0,0,0,0,0,3,11,63,9
1171,1,1,20130.0,0,0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,3,11,47,7
353,2,1,72099.0,0,0,18,546,91,410,119,0,22,1,3,4,10,1,0,0,0,0,0,0,3,11,47,9
134,4,1,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,57,8
1717,2,1,22108.0,1,1,46,5,3,9,6,2,6,2,2,0,3,7,0,0,0,0,0,0,3,11,44,7
1305,2,1,60894.0,0,1,61,606,7,155,10,0,54,5,10,3,8,7,0,0,0,0,0,0,3,11,55,8
704,3,0,41335.0,1,0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,3,11,53,8
380,4,1,33581.0,2,0,38,11,0,5,0,0,1,1,1,0,2,8,0,0,0,0,0,0,3,11,52,8
1429,2,0,31907.0,0,0,75,33,87,64,175,16,74,1,6,1,6,7,0,0,0,0,0,0,3,11,49,8
634,2,0,83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,3,11,48,8
498,4,1,67911.0,0,1,63,529,0,356,63,28,0,3,6,7,11,3,0,0,0,0,0,0,3,11,72,7
1628,2,1,19444.0,1,0,8,16,0,23,3,2,10,3,4,1,2,7,0,0,0,0,0,0,3,11,39,7
1554,2,1,67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,3,11,47,9
253,1,1,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,3,11,63,9
1216,2,0,61559.0,0,1,8,279,83,88,32,14,34,1,4,2,10,3,0,0,0,0,0,0,3,11,56,8
1318,2,1,40321.0,1,1,59,44,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,3,11,49,8
979,2,1,53103.0,0,1,70,729,17,133,11,0,195,5,10,6,7,7,1,0,0,0,0,0,3,11,67,8
1575,4,1,38201.0,0,1,19,233,0,23,0,0,12,4,5,1,5,8,0,0,0,0,0,0,3,11,61,8
657,1,1,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,3,11,63,9
206,2,1,29604.0,1,0,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,3,11,33,8
765,2,1,48726.0,0,1,90,138,3,38,4,0,59,3,3,2,4,6,0,0,0,0,0,0,3,11,66,8
354,4,0,60000.0,0,1,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,0,0,0,0,3,11,45,9
913,3,1,35641.0,1,0,11,63,3,67,8,9,28,2,3,1,4,7,0,0,0,0,0,0,3,11,49,8
1235,2,1,64722.0,1,0,47,303,0,280,60,147,15,4,8,2,11,6,0,0,0,0,0,0,3,11,50,7
716,1,0,87305.0,0,0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,3,11,61,9
538,1,1,57247.0,0,1,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0,3,11,69,8
1117,3,1,36262.0,0,0,24,88,39,54,64,28,153,1,3,5,3,6,1,0,0,0,0,0,3,11,38,8
484,3,1,83151.0,0,0,93,407,28,100,120,74,18,1,5,9,4,3,0,0,0,0,0,0,3,11,61,9
2044,2,1,37150.0,1,0,80,167,37,64,49,34,116,8,4,3,6,7,0,0,0,0,0,0,3,11,50,9
1533,3,0,46098.0,1,1,86,57,0,27,0,0,36,4,3,2,2,8,0,0,0,0,0,0,3,11,46,9
1302,1,1,23148.0,0,0,83,4,6,8,6,3,10,1,2,0,3,7,0,0,0,0,0,0,3,11,36,7
19,1,0,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,36,9
1053,1,0,25959.0,1,1,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,0,3,11,51,8
109,3,1,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,61,9
830,4,0,55412.0,1,1,65,10,5,28,11,1,8,1,2,0,3,5,0,0,0,0,0,0,3,11,45,8
26,2,1,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,45,8
1416,0,1,22634.0,0,0,47,2,23,11,8,6,46,1,2,1,2,8,0,0,0,0,0,0,3,11,55,8
1165,2,1,62710.0,0,1,53,441,35,83,7,29,11,4,4,2,12,4,0,0,0,0,0,0,3,11,49,8
1643,0,1,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,42,8
1765,2,1,67131.0,0,1,72,465,71,250,93,35,62,3,9,2,12,6,0,0,0,0,0,0,3,11,65,8
268,2,1,72940.0,0,0,13,182,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,3,11,51,8
2188,3,1,65487.0,0,0,48,240,67,500,199,0,163,3,3,5,6,2,0,0,0,0,0,0,3,11,64,7
2159,2,0,59686.0,0,1,78,89,15,89,34,42,5,1,4,1,6,4,0,0,0,0,0,0,3,11,56,7
1314,1,1,59060.0,1,0,77,35,40,111,36,40,12,3,3,1,7,4,0,0,0,0,0,0,3,11,32,7
469,4,1,49269.0,1,0,92,639,8,166,11,8,58,3,7,3,12,7,0,0,0,0,0,0,3,11,50,9
526,4,1,77863.0,0,0,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0,3,11,63,8
1182,4,0,54959.0,0,1,55,1148,0,60,0,0,24,3,9,5,4,7,0,1,0,0,0,0,3,11,60,8
1834,2,1,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,3,11,44,8
591,3,1,92163.0,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,3,11,46,9
1025,4,1,56320.0,0,1,11,201,53,172,116,77,83,3,5,4,9,4,0,0,0,0,0,0,3,11,54,8
1395,3,1,63915.0,0,2,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,3,11,65,8
1311,3,0,64857.0,0,0,78,556,14,717,210,0,43,1,7,5,10,4,0,0,0,0,0,0,3,11,65,9
1754,2,0,30372.0,1,1,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,3,11,50,9
1770,4,0,25509.0,1,0,15,40,3,30,10,7,11,3,3,0,3,9,0,0,0,0,0,0,3,11,47,9
153,2,0,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,33,7
1471,2,1,34380.0,1,0,68,72,7,58,13,1,24,4,4,1,3,8,0,0,0,0,0,0,3,11,44,8
1690,2,0,49090.0,0,1,45,494,5,82,7,0,100,3,7,2,9,7,0,0,0,0,0,0,3,11,70,8
1639,3,1,30560.0,1,0,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,3,11,45,8
1918,2,0,20180.0,0,0,27,18,42,24,15,20,18,1,2,1,4,7,0,0,0,0,0,0,3,11,45,8
525,2,1,32880.0,1,0,76,8,4,15,7,6,2,1,1,0,3,8,0,0,0,0,0,0,3,11,35,9
826,2,1,93404.0,1,2,97,1279,15,287,20,0,15,3,3,4,7,5,0,1,1,0,0,0,3,11,67,8
2047,2,1,65308.0,0,0,60,713,0,264,120,80,34,1,7,8,12,4,0,0,1,1,0,0,3,11,48,8
16,2,1,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,41,9
1720,2,1,17688.0,1,0,82,2,2,1,3,1,2,1,1,0,2,8,0,0,0,0,0,1,3,11,42,8
229,4,1,34320.0,1,0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,3,11,35,7
1356,2,1,38136.0,1,0,69,8,15,27,0,20,33,2,3,1,2,8,1,0,0,0,0,0,3,11,43,8
1864,2,1,69109.0,0,0,10,823,25,459,124,29,95,1,6,6,7,4,0,0,1,0,0,0,3,11,39,9
780,4,0,71466.0,0,0,86,412,12,546,78,182,0,1,4,4,10,1,0,0,0,0,0,0,3,11,47,7
1454,4,1,32727.0,0,0,38,167,13,180,86,13,70,2,7,3,5,8,0,0,0,0,0,0,3,11,56,9
2138,3,0,62637.0,0,1,76,104,12,48,4,12,5,1,2,2,5,2,0,0,0,0,0,0,3,11,67,7
2028,3,1,49912.0,0,1,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,0,3,11,72,9
194,2,1,51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,3,11,48,8
2132,4,1,156924.0,0,0,85,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,11,72,8
1093,4,0,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,3,11,49,8
127,3,1,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,68,7
373,2,0,63810.0,0,1,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0,3,11,55,9
1339,2,0,39660.0,1,0,36,139,13,78,20,13,36,3,7,1,3,9,0,0,0,0,0,0,3,11,39,9
583,3,1,27450.0,0,0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,3,11,70,8
648,3,1,78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,3,11,44,7
1170,0,1,14421.0,0,0,81,0,0,2,3,3,8,1,1,0,2,5,1,0,0,0,0,0,3,11,25,7
852,1,1,82347.0,0,0,38,556,54,845,202,133,63,1,7,7,10,3,1,0,0,1,0,0,3,11,64,9
1924,2,0,80982.0,1,1,48,505,137,401,104,22,22,3,11,5,11,5,0,0,0,0,0,1,3,11,62,8
1741,2,1,37292.0,1,0,32,275,0,86,10,23,66,5,6,3,5,8,0,0,0,0,0,0,3,11,38,8
384,3,0,36143.0,1,0,33,12,0,1,0,0,6,1,0,1,2,3,0,0,0,0,0,0,3,11,40,7
1135,1,1,49669.0,1,0,97,166,5,107,11,8,29,2,5,1,6,6,0,0,0,0,0,0,3,11,47,7
358,3,1,65073.0,0,0,65,629,17,177,69,0,8,1,5,3,5,2,0,0,0,0,0,1,3,11,78,8
311,2,1,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,54,8
1991,3,1,39791.0,0,1,89,85,15,27,13,13,21,2,3,1,4,7,0,0,0,0,0,0,3,11,50,8
119,2,1,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,52,8
1992,3,0,91712.0,0,0,47,1276,24,746,94,29,48,0,9,7,11,3,0,0,1,0,0,0,3,11,74,8
251,2,0,29938.0,1,0,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,3,11,36,8
1347,4,1,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,38,8
446,3,0,42618.0,1,0,92,76,14,74,13,5,10,2,5,0,4,8,0,0,0,0,0,0,3,11,49,8
117,1,1,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,43,8
14,2,1,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,34,9
1878,4,1,69702.0,0,1,8,664,9,240,50,19,57,2,7,7,10,4,0,0,0,0,0,0,3,11,70,8
236,3,1,23661.0,1,0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,3,11,39,8
67,1,0,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,42,7
1712,2,1,41154.0,0,1,98,44,2,11,2,3,7,1,1,0,4,5,0,0,0,0,0,0,3,11,43,8
2179,2,1,38946.0,0,1,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,3,11,66,8
695,3,1,61923.0,0,2,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,3,11,60,8
166,2,0,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,68,8
825,1,0,78353.0,0,1,51,752,122,476,39,153,34,1,10,2,11,8,0,0,0,0,0,0,3,11,62,8
901,2,0,54137.0,0,1,46,171,0,11,0,1,20,2,4,1,4,6,0,0,0,0,0,0,3,11,51,8
271,3,0,31788.0,1,0,15,16,7,23,0,8,6,3,3,0,4,5,0,0,0,0,0,1,3,11,38,7
1898,4,0,113734.0,0,0,9,6,2,3,1,262,3,0,27,0,0,1,0,0,0,0,0,0,3,11,76,7
937,4,1,67536.0,0,1,45,1253,0,447,23,71,35,3,11,5,11,8,0,0,0,1,0,0,3,11,51,8
904,2,1,58917.0,1,2,10,151,7,89,0,7,28,5,4,1,6,5,0,0,0,0,0,0,3,11,52,8
635,2,0,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,59,7
83,3,1,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,58,8
125,1,1,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,56,8
324,2,0,40464.0,0,1,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,3,11,68,8
530,1,0,47682.0,0,1,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,3,11,46,8
1049,2,1,44529.0,0,1,98,538,13,91,17,6,26,6,6,2,11,5,0,1,0,0,0,0,3,11,55,8
2066,2,1,42192.0,0,0,40,40,15,15,17,6,7,1,2,1,3,4,0,0,0,0,0,0,3,11,73,8
115,2,0,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,59,8
609,2,1,81168.0,0,0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,3,11,56,7
1414,2,0,34412.0,1,0,62,52,12,50,4,36,55,3,5,0,3,9,0,0,0,0,0,0,3,11,31,8
943,2,1,94384.0,0,0,62,1111,24,790,160,45,172,0,5,8,5,2,0,1,1,1,0,0,3,11,68,8
2147,3,1,41275.0,1,2,33,24,4,22,0,2,9,4,3,1,3,5,0,0,0,0,0,0,3,11,61,7
2069,2,1,34350.0,1,0,81,16,3,15,2,1,11,1,1,0,3,7,0,0,0,0,0,0,3,11,42,8
1921,1,1,70932.0,0,1,57,200,193,100,46,185,185,2,6,2,12,3,0,0,0,0,0,0,3,11,49,7
1213,2,1,74918.0,0,0,78,972,59,913,25,19,59,1,5,9,6,3,0,0,1,0,0,0,3,11,52,8
1301,2,1,94384.0,0,0,62,1111,24,790,160,45,172,0,5,8,5,2,0,1,1,1,0,0,3,11,68,8
731,4,1,53593.0,1,1,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,3,11,68,9
1747,3,1,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,3,11,75,8
1423,4,1,54132.0,0,1,81,30,1,8,0,0,3,1,1,0,3,7,0,0,0,0,0,0,3,11,52,7
1127,2,1,46931.0,2,1,94,41,0,17,3,1,16,2,1,1,3,3,0,0,0,0,0,0,3,11,44,7
1045,3,0,33168.0,0,1,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,3,11,56,9
1989,2,1,58116.0,0,1,38,228,19,130,4,11,51,2,3,3,8,2,0,0,0,0,0,0,3,11,65,7
698,2,0,45938.0,0,0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,3,11,60,8
801,2,0,46984.0,1,1,71,19,1,10,2,1,8,1,1,0,3,5,0,0,0,0,0,0,3,11,65,8
335,2,0,62204.0,0,2,38,317,46,247,151,46,139,1,4,5,12,3,0,0,0,0,0,0,3,11,61,9
643,2,0,45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,3,11,57,8
1118,0,1,22634.0,0,0,47,2,23,11,8,6,46,1,2,1,2,8,0,0,0,0,0,0,3,11,55,8
1686,3,0,78789.0,0,0,12,667,50,850,21,83,83,1,4,6,5,2,0,0,0,0,0,0,3,11,41,9
2036,2,1,75330.0,1,1,94,555,82,257,93,61,61,4,10,3,12,6,0,0,0,0,0,0,3,11,44,9
1572,3,0,90638.0,0,0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,3,11,30,7
994,2,0,64587.0,1,1,49,66,0,16,0,6,20,2,1,1,4,3,0,0,0,0,0,0,3,11,67,7
1678,4,1,49544.0,1,0,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,3,11,45,8
1564,2,1,44322.0,1,0,30,46,0,40,3,0,3,2,3,0,3,8,0,0,0,0,0,0,3,11,36,7
1130,3,1,67381.0,0,1,67,815,8,53,11,0,70,4,2,2,9,7,0,1,0,0,0,0,3,11,70,8
1015,3,1,59412.0,0,0,56,90,67,165,30,43,11,1,4,2,8,3,0,0,0,0,0,0,3,11,70,7
61,2,1,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,46,9
545,1,1,24683.0,1,0,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,3,11,31,7
2184,1,1,53233.0,0,1,18,28,0,9,3,0,0,1,1,0,3,4,0,0,0,0,0,0,3,11,64,7
224,2,0,63887.0,0,1,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,3,11,59,9
382,2,0,27421.0,0,0,14,43,12,96,78,40,55,3,4,1,6,7,0,0,0,0,0,0,3,11,67,9
105,0,1,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,42,8
1063,4,0,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,48,7
1185,2,0,22327.0,1,0,94,5,4,8,2,0,5,1,1,0,3,5,0,0,0,0,0,0,3,11,36,8
171,2,1,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,3,11,39,8
2224,4,0,57642.0,0,1,24,580,6,58,8,0,27,3,7,6,6,4,1,0,0,0,0,0,3,11,51,7
81,2,1,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,52,8
1389,2,1,75507.0,0,0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,3,11,42,7
677,2,0,70337.0,0,0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,3,11,42,7
670,4,1,59304.0,0,1,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,3,11,57,8
1278,2,0,71847.0,0,0,95,737,21,106,55,63,210,0,6,7,9,3,0,0,0,1,0,0,3,11,43,9
